toponym, number of bylines, geon-id, lat, lng
بغداد,47,98182,33.34058,44.40088
دمشق,40,170654,33.5102,36.29128
بيروت,30,276781,33.88894,35.49442
القاهرة,21,360630,30.06263,31.24967
زحلة,12,266045,33.84675,35.90203
النبطية,9,444191,33.25,35.5
النجف,8,98862,31.25,43.83333
الأستانة,5,,,
حيفا,5,294801,32.81841,34.9885
طنطا,3,347497,30.78847,31.00192
اوماها,3,5074472,41.25626,-95.94043
لبنان,3,272103,33.83333,35.83333
طرابلس الشام,3,266826,34.43667,35.84972
حلب,3,170063,36.20124,37.16117
القسطنطينية,2,,,
أوماها,2,5074472,41.25626,-95.94043
يافا,2,293253,32.05043,34.75224
أميركا,2,3433349,-27.04346,-55.22698
تونس,2,2464470,36.81897,10.16579
لنكلن,2,,,
دمنهور,1,358448,31.03408,30.46823
الولايلت المتحدة,1,,,
الحديدة,1,79415,14.79781,42.95452
سروج,1,9233,36.85119,38.47967
سلانيك,1,,,
عجلون,1,250799,32.33326,35.75279
مصر,1,357994,27,30
القدس,1,281184,31.76904,35.21633
بين النهرين,1,11260370,33.28961,36.56886
ما بين النهرين,1,,,
نيويورك,1,5132029,40.82566,-73.69819
أمريكا,1,7729890,54.77535,-105.64453
حلوان,1,355795,29.84144,31.30084
الديار المصرية,1,,,
أوريزون,1,,,
العراق,1,99237,33,44
نزيل دمشق,1,,,
