toponym, number of bylines, geon-id, lat, lng
بيروت,38,276781,33.88894,35.49442
مصر,30,357994,27,30
دمشق,20,170654,33.5102,36.29128
القاهرة,14,360630,30.06263,31.24967
بغداد,8,98182,33.34058,44.40088
Paris,4,2988507,48.85341,2.3488
طرابلس الشام,4,266826,34.43667,35.84972
نيويورك,4,5132029,40.82566,-73.69819
باريز,4,141254,27.3054,56.6739
تونس,3,2464470,36.81897,10.16579
بونس أيرس,2,,,
سان باولو,2,3448439,-23.5475,-46.63611
حلب,2,170063,36.20124,37.16117
الأستانة,2,,,
العراق,2,99237,33,44
النجف,2,98862,31.25,43.83333
حمص,2,169577,34.72682,36.72339
ليدن,2,2751773,52.15833,4.49306
فاس,1,2548885,34.03313,-5.00028
أورنبورغ,1,,,
الموسكي,1,9179530,30.0486,31.25634
سوق البلاط,1,,,
قزان,1,7363187,16.0651,43.03785
روسيا,1,2017370,60,100
لندن,1,2643743,51.50853,-0.12574
الاسكندرية,1,361059,31,29.75
لبنان,1,272103,33.83333,35.83333
حماة,1,170017,35.13179,36.75783
الجزائر,1,2477461,35.40417,8.12417
بعجه سراي,1,,,
باكو,1,587084,40.37767,49.89201
لندرا,1,,,
جنيف,1,2660646,46.20222,6.14569
فينا,1,7730550,-18.8064,16.9272
بلرم صقلية,1,,,
باريس,1,2988507,48.85341,2.3488
جونية,1,8041193,33.41627,36.15134
حيفا,1,294801,32.81841,34.9885
البترون,1,280328,34.25528,35.65806
سنقافورا,1,,,
يافا,1,293253,32.05043,34.75224
صيدا,1,268064,33.55993,35.37564
الجديدة,1,99071,36.33271,43.10555
زحلة,1,266045,33.84675,35.90203
الموصل,1,99071,36.33271,43.10555
دار السلطنة,1,,,
